date,outdoor_high,outdoor_low,outdoor_mean,hdd65,furnace_runtime_min,furnace_cycles,avg_min_per_cycle,zone_calls_total,chaining_index,runtime_1f_min,runtime_2f_min,basement_dew_point
2026-01-23,0.0,0.0,0.0,32.1,315.0,45,7.0,56,1.24,156.3,195.6,31.7
2026-01-23,0.0,0.0,0.0,35.2,337.2,49,6.9,60,1.22,160.7,213.6,29.9
2026-01-24,14.9,-50.0,-17.6,54.6,548.5,66,8.3,93,1.41,284.1,345.3,25.9
2026-01-25,26.2,12.9,19.6,50.7,561.2,65,8.6,96,1.48,300.3,382.6,26.7
2026-01-26,23.8,11.9,17.9,46.7,483.7,61,7.9,88,1.44,278.2,293.0,28.6
2026-01-27,14.2,9.3,11.8,51.0,467.5,59,7.9,82,1.39,266.3,275.7,29.2
2026-01-28,15.9,8.9,12.4,51.1,465.1,61,7.6,90,1.48,301.3,296.3,29.5
2026-01-29,22.3,9.3,15.8,51.4,464.7,66,7.0,84,1.27,250.7,272.7,29.3
2026-01-30,14.9,11.0,12.9,54.9,329.7,37,8.9,59,1.59,201.0,210.7,28.2
2026-01-30,8.9,3.7,6.3,56.3,491.8,63,7.8,95,1.51,274.3,336.4,27.8
